2019-12-08 11:29:35,028 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:407] Running AppStudio instances: 3
2019-12-08 11:29:37,014 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-11 | d.s.a.n.n.p.NodeServiceProvider [NodeServiceProvider.java:255] Language Server : Server started on port: 3003
2019-12-08 11:29:37,204 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:452] ## AS-STATUS ## AppStudio startup
2019-12-08 11:29:37,207 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio version: 3.0.0
2019-12-08 11:29:37,208 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio Install-ID: 2019-12-08--11-28-12-672
2019-12-08 11:29:37,209 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio Instance-ID: 2019-12-08--11-29-33-730
2019-12-08 11:29:37,224 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio License is valid
2019-12-08 11:29:37,230 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio License Information - Name: Michael Lorens, Company: HFU Hochschule Furtwangen, Expiration: 2020-02-29, Type: trial
2019-12-08 11:29:38,513 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## MAC address: c8-5b-76-bf-e3-30
2019-12-08 11:29:38,514 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## CPU info: Intel64 Family 6 Model 142 Stepping 9, GenuineIntel, architecture: AMD64, number CPUs: 4
2019-12-08 11:29:38,530 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## OS info: Windows 10, architecture: amd64, version: 10.0
2019-12-08 11:29:38,531 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Disk space (bytes): 107345866752
2019-12-08 11:29:38,532 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## JVM max memory (bytes): 1886912512
2019-12-08 11:29:38,542 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Editor preferences - Font Size: 14
2019-12-08 11:29:38,545 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## UI-Builder preferences - Warn when importing unsupported ui elements: true
2019-12-08 11:29:38,546 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Emulator preferences - Auto web server port selection: true
2019-12-08 11:29:38,547 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Emulator preferences - Manual web server port: 80
2019-12-08 11:29:38,548 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## General preferences - Confirm exit: true
2019-12-08 11:29:38,549 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## General preferences - Support hardlinks: false
2019-12-08 11:29:38,550 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Logging preferences - Log to file: true
2019-12-08 11:29:38,552 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Logging preferences - Log path: E:\AIN\6_Semester\LIDAR_AppSpace\log
